project_id,section_id,task_content,completed_at,description,due,duration,completed_at_local_naive,due_date_str,due_date,project_name,parent_id,section_name,status
6f3qMqW5vcr3XF3q,,Comprar licencias demo para Queretaro.,,,"{'date': datetime.date(2025, 12, 1), 'timezone': None}",,,2025-12-01,2025-12-01 00:00:00,Sin Proyecto,,Sin Sección,Pendiente
6fC9MQ27h9R28JV9,,Hacer cuenta de gastos,,,"{'date': datetime.date(2025, 11, 30), 'timezone': None}",,,2025-11-30,2025-11-30 00:00:00,ISS GENERAL,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f424RP23PCrffqw,,Revisar y documentar el alcance de los camiones.,,,"{'date': datetime.date(2025, 12, 1), 'timezone': None}",,,2025-12-01,2025-12-01 00:00:00,SEMEX - CAMIONES SINTRAM,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6fF6F9vQGP5Gq54c,,Desayuno con flor,,,"{'date': datetime.date(2025, 12, 1), 'timezone': None}",,,2025-12-01,2025-12-01 00:00:00,Sin Proyecto,,Sin Sección,Pendiente
6fC9Mg7Xf9Jxc35j,6fMchFMFw8Hq42rC,Configuración script correo,,,"{'date': datetime.datetime(2025, 12, 1, 16, 0), 'timezone': None}","Duration(amount=120, unit='minute')",,2025-12-01 16:00:00,2025-12-01 16:00:00,ISS TKT'S,6f3xv8Rc6p43Wj4Q,SCRIPT CORREO FIRE / TKT 2025102310000005,Pendiente
6fJcFx9vqjMXfCh5,,Junta de revisión de POC,,,"{'date': datetime.date(2025, 12, 1), 'timezone': None}",,,2025-12-01,2025-12-01 00:00:00,CEMEX POC,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6fC9MQ27h9R28JV9,,Mandar reporte de pendientes a David,,,"{'date': datetime.date(2025, 12, 1), 'timezone': None}",,,2025-12-01,2025-12-01 00:00:00,ISS GENERAL,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f3xvP2834wFchpm,,Revisar cámaras Santiago.,,,"{'date': datetime.date(2025, 11, 29), 'timezone': None}",,,2025-11-29,2025-11-29 00:00:00,CDP - SANTIAGO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f3qQ5WQMprv7xh8,,Obtener CulturalAccess en LabUANL en Centro,,,"{'date': datetime.date(2025, 11, 29), 'timezone': None}",,,2025-11-29,2025-11-29 00:00:00,Sin Proyecto,,Sin Sección,Pendiente
6fC9MQ27h9R28JV9,,Pagar google cloud,,,"{'date': datetime.date(2025, 12, 1), 'timezone': None}",,,2025-12-01,2025-12-01 00:00:00,ISS GENERAL,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f3qMqW5vcr3XF3q,,Vencimiento licencia Kellogs,,,"{'date': datetime.date(2025, 12, 3), 'timezone': None}",,,2025-12-03,2025-12-03 00:00:00,Sin Proyecto,,Sin Sección,Pendiente
6f4243m2GQHprHgV,,[5] Desmontaje de cámara #Oct 8,,,"{'date': datetime.date(2025, 12, 1), 'timezone': None}",,,2025-12-01,2025-12-01 00:00:00,SEMEX - MOTUS PRO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Entregar protocolo de pruebas [C5 / SEMEX],,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f4243m2GQHprHgV,,[6] Entrega de equipo a personal de ISS #Oct 9,,,"{'date': datetime.date(2025, 12, 1), 'timezone': None}",,,2025-12-01,2025-12-01 00:00:00,SEMEX - MOTUS PRO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6fC9MQ27h9R28JV9,,[Llenar reporte proyectos para reunión norte.](https://isscctv365-my.sharepoint.com/:x:/g/personal/arturo_dominguez_issivs_com/EQh_4b0yR1RCg1P-Fi2V0KIBiJNIylHB4_DdMOwQbQfpKQ?CID=a57d3447-5fe7-e412-1554-000c1867b434&e=HASYbP&clickParams=eyJYLUFwcE5hbWUiOiJNaWNyb3NvZnQgT3V0bG9vayBXZWIgQXBwIiwiWC1BcHBWZXJzaW9uIjoiMjAyNTEwMzEwMDguMTUiLCJPUyI6IldpbmRvd3MgMTEifQ%3D%3D),,,"{'date': datetime.datetime(2025, 12, 4, 10, 0), 'timezone': None}",,,2025-12-04 10:00:00,2025-12-04 10:00:00,ISS GENERAL,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f422jmHj6Xc85jw,,MCA - Certificación VMS Basic Virtual,,,"{'date': datetime.date(2025, 12, 2), 'timezone': None}",,,2025-12-02,2025-12-02 00:00:00,ISS CERTIFICACIONES,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f3qPQGcJvJCGRPg,,Recoger a Areli,,,"{'date': datetime.datetime(2025, 12, 1, 14, 45), 'timezone': None}",,,2025-12-01 14:45:00,2025-12-01 14:45:00,Sin Proyecto,,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Generar licencia temporal para el sistema [ISS].,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f3qPQGcJvJCGRPg,,Toma de fotografía anuario,,,"{'date': datetime.date(2025, 12, 7), 'timezone': None}",,,2025-12-07,2025-12-07 00:00:00,Sin Proyecto,,Sin Sección,Pendiente
6f3qQ5WQMprv7xh8,,PAGO TEC,,,"{'date': datetime.date(2025, 12, 1), 'timezone': None}",,,2025-12-01,2025-12-01 00:00:00,Sin Proyecto,,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Dar de alta licencia temporal en sistema [ISS]. m,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Agregar servidores al cluster [ISS]. m,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f3qPQGcJvJCGRPg,,Platica de sexualidad,,,"{'date': datetime.datetime(2025, 12, 1, 10, 0), 'timezone': None}","Duration(amount=120, unit='minute')",,2025-12-01 10:00:00,2025-12-01 10:00:00,Sin Proyecto,,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Hacer pruebas de funcionamiento [ISS]. m,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f3qPQGcJvJCGRPg,,EXAMEN HABILIDADES V,,,"{'date': datetime.datetime(2025, 12, 3, 8, 0), 'timezone': None}",,,2025-12-03 08:00:00,2025-12-03 08:00:00,Sin Proyecto,,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Crear usuarios en MCC [ISS]. m,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f3qPQGcJvJCGRPg,,EXAMEN MASS AND ENERGY,,,"{'date': datetime.datetime(2025, 12, 3, 10, 0), 'timezone': None}",,,2025-12-03 10:00:00,2025-12-03 10:00:00,Sin Proyecto,,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Crear permisos de usuarios en MCC [ISS]. m,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f3qPQGcJvJCGRPg,,EXAMEN CUIDADO DEL CUERPO,,,"{'date': datetime.datetime(2025, 12, 4, 8, 0), 'timezone': None}",,,2025-12-04 08:00:00,2025-12-04 08:00:00,Sin Proyecto,,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Crear estaciones de trabajo en MCC [ISS]. m,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f3qPQGcJvJCGRPg,,EXAMEN INGLES,,,"{'date': datetime.datetime(2025, 12, 5, 8, 0), 'timezone': None}",,,2025-12-05 08:00:00,2025-12-05 08:00:00,Sin Proyecto,,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Crear escritorios para estaciones de trabajo [ISS]. m,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Revisión de funcionamiento de servidor de camiones [ISS]. m,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f424rwJR7rJhXhQ,,Entrega de sistema funcionando [ISS / SEMEX / C5]. m,,,"{'date': datetime.date(2025, 12, 5), 'timezone': None}",,,2025-12-05,2025-12-05 00:00:00,SEMEX - C5 NL MODIFICATORIO,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
